first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Brandon,Lyon,brandon@acme.com,,Head of Cloud Engineering at Pinterest,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Enterprise Departments,False,emil@acme.com,2007-08-12,1979-05-11
Yvette,Leach,yvette@acme.com,,Helping to Execute the Future Vision,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,People Insights,True,clarisse@acme.com,2013-03-10,1991-02-18
Jeff,Ransom,jeff@acme.com,,Technical Program Manager,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Client Accounting,False,aline@acme.com,2008-10-16,1977-10-21
Callixte,Nichols,callixte@acme.com,,Staff Software Engineer,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Success,False,dazméh@acme.com,2010-10-20,1972-03-08
Ben,Hering,ben@acme.com,,Director of Product Management,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Product,True,maz@acme.com,2009-03-06,1976-04-18
David,Jomoto,david@acme.com,,Lead Operations Engineer,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Happiness,False,alan@acme.com,2013-03-09,1997-11-24
Michael,Dolce,michael@acme.com,,"Director of Product Management, Enterprise Products",(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Growth Experience,False,margie@acme.com,2011-01-12,1983-09-02
Susheel,McBride,susheel@acme.com,,Senior Product Manager,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,External Accounting,False,meng@acme.com,2013-10-08,1995-07-24
Casey,Watts,casey@acme.com,,Senior Software Engineer,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Optimizing Insights,False,phillip@acme.com,2010-02-16,1987-01-06
Tom,Simon,tom@acme.com,,Senior Software Engineer,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Vertical Happiness,False,jkimeria@acme.com,2013-03-13,1987-10-06
