first_name,last_name,email,profile_picture_image_url,title,cell_phone,manager_email,name_of_team_they_manage,hire_date,office_name
Danny,Davidson,danny@acme.com,http://api.randomuser.me/portraits/men/71.jpg,COO,415-583-3824,tracy@acme.com,Operations,2010-03-18,Headquarters
Sandra,Torres,sandra@acme.com,http://api.randomuser.me/portraits/women/50.jpg,VP Finance,415-570-5474,tracy@acme.com,Finance,2008-12-01,Headquarters
Tracy,Kelly,tracy@acme.com,http://api.randomuser.me/portraits/men/34.jpg,CEO,,,Executive Staff,2007-08-08,Headquarters
Duane,Mendoza,duane@acme.com,http://api.randomuser.me/portraits/men/89.jpg,CTO,415-541-1262,tracy@acme.com,,2007-08-08,Headquarters
Alexis,Carpenter,alexis@acme.com,http://api.randomuser.me/portraits/women/85.jpg,VP Marketing,415-742-5722,tracy@acme.com,Marketing,2008-02-13,Headquarters
Walter,Jordan,walter@acme.com,http://api.randomuser.me/portraits/men/57.jpg,SVP Sales,415-816-6335,tracy@acme.com,Worldwide Sales,2011-06-03,Headquarters
Troy,Thomas,troy@acme.com,http://api.randomuser.me/portraits/men/87.jpg,Executive Assistant,,tracy@acme.com,,2013-08-04,Headquarters
Arianna,Nelson,arianna@acme.com,http://api.randomuser.me/portraits/women/28.jpg,VP Customer Support,415-510-0664,danny@acme.com,Customer Suport,2010-07-22,Headquarters
Randall,Hart,randall@acme.com,http://api.randomuser.me/portraits/men/37.jpg,Customer Support Manager,415-645-4100,arianna@acme.com,Customer Support,2013-01-14,Headquarters
Landon,Baker,landon@acme.com,http://api.randomuser.me/portraits/men/36.jpg,Customer Support Manager,,arianna@acme.com,East Coast Support,2012-04-11,DC Office
Ruby,Shaw,ruby@acme.com,http://api.randomuser.me/portraits/women/45.jpg,Customer Support Manager,,arianna@acme.com,EMEA Support,2011-04-02,London Office
Marc,Anderson,manderson@acme.com,http://api.randomuser.me/portraits/men/61.jpg,Customer Service Agent,415-672-5867,randall@acme.com,,2014-02-01,Headquarters
Marc,Wagner,marc@acme.com,http://api.randomuser.me/portraits/men/96.jpg,Customer Service Agent,415-265-6427,randall@acme.com,,2014-01-17,Headquarters
Meghan,Ward,meghan@acme.com,http://api.randomuser.me/portraits/women/68.jpg,Customer Service Agent,415-708-3826,randall@acme.com,,2013-11-13,Headquarters
Becky,Davidson,becky@acme.com,http://api.randomuser.me/portraits/women/73.jpg,Customer Service Agent,415-530-2155,randall@acme.com,,2012-12-09,Headquarters
Gabriella,Lopez,gabriella@acme.com,http://api.randomuser.me/portraits/women/48.jpg,Customer Service Agent,415-636-0120,randall@acme.com,,2012-08-29,Headquarters
William,Fletcher,william@acme.com,http://api.randomuser.me/portraits/men/74.jpg,Customer Service Agent,415-526-1281,randall@acme.com,,2010-12-08,Headquarters
Jayden,Ross,jayden@acme.com,http://api.randomuser.me/portraits/men/17.jpg,Customer Service Agent,415-641-5370,randall@acme.com,,2013-01-02,Headquarters
Mason,Craig,mason@acme.com,http://api.randomuser.me/portraits/men/73.jpg,Customer Service Agent,415-678-1017,randall@acme.com,,2013-03-20,Headquarters
Emma,Hernandez,emma@acme.com,http://api.randomuser.me/portraits/women/28.jpg,Customer Service Agent,415-242-0287,randall@acme.com,,2013-06-11,Headquarters
Bessie,Wood,bessie@acme.com,http://api.randomuser.me/portraits/women/42.jpg,Customer Service Agent,,randall@acme.com,,2013-12-29,Headquarters
Carter,Mitchelle,carter@acme.com,http://api.randomuser.me/portraits/men/88.jpg,Customer Service Agent,,randall@acme.com,,2012-10-29,Headquarters
Marjorie,Elliott,marjorie@acme.com,http://api.randomuser.me/portraits/women/73.jpg,Customer Service Agent,,landon@acme.com,,2012-07-21,DC Office
Rachel,Garrett,rachel@acme.com,http://api.randomuser.me/portraits/women/51.jpg,Customer Service Agent,,landon@acme.com,,2012-12-18,DC Office
Derrick,Murray,derrick@acme.com,http://api.randomuser.me/portraits/men/54.jpg,Customer Service Agent,,landon@acme.com,,2011-08-23,DC Office
Marie,Burke,marie@acme.com,http://api.randomuser.me/portraits/women/32.jpg,Customer Service Agent,,landon@acme.com,,2012-03-21,DC Office
Nora,Reyes,nora@acme.com,http://api.randomuser.me/portraits/women/46.jpg,Customer Service Agent,,landon@acme.com,,2011-06-08,DC Office
Ted,Castro,ted@acme.com,http://api.randomuser.me/portraits/men/84.jpg,Customer Service Agent,,ruby@acme.com,,2013-05-10,London Office
Sarah,Harper,sarah@acme.com,http://api.randomuser.me/portraits/women/71.jpg,Customer Service Agent,,ruby@acme.com,,2013-09-23,London Office
Sherri,Robinson,sherri@acme.com,http://api.randomuser.me/portraits/women/55.jpg,Customer Service Agent,,ruby@acme.com,,2012-11-28,London Office
Deann,Ford,deann@acme.com,http://api.randomuser.me/portraits/women/55.jpg,"GM, Washington DC",,danny@acme.com,DC Operations,2013-05-09,DC Office
Meghan,Green,mgreen@acme.com,http://api.randomuser.me/portraits/women/34.jpg,"GM, London",,danny@acme.com,London Operations,2013-10-25,London Office
Yvonne,Frazier,yvonne@acme.com,http://api.randomuser.me/portraits/women/2.jpg,Office Manager,,deann@acme.com,,2013-01-31,DC Office
Emily,Wilson,emily@acme.com,http://api.randomuser.me/portraits/women/83.jpg,Office Manager,,mgreen@acme.com,,2010-08-03,London Office
Johnny,Cruz,johnny@acme.com,http://api.randomuser.me/portraits/men/75.jpg,Office Manager,,danny@acme.com,,2010-11-02,Headquarters
Serenity,Reynolds,serenity@acme.com,http://api.randomuser.me/portraits/women/81.jpg,IT Manager,415-625-7610,danny@acme.com,IT,2011-06-04,Headquarters
Rick,Chapman,rick@acme.com,http://api.randomuser.me/portraits/men/89.jpg,Head of People Operations,,danny@acme.com,People Operations,2011-05-07,Headquarters
Marie,Collins,mcollins@acme.com,http://api.randomuser.me/portraits/women/95.jpg,Lead Recruiter,415-816-1636,rick@acme.com,Recruiting,2014-03-21,Headquarters
Bobby,Barrett,bobby@acme.com,http://api.randomuser.me/portraits/men/74.jpg,Human Resources,,rick@acme.com,,2009-12-13,Headquarters
Ethan,Scott,ethan@acme.com,http://api.randomuser.me/portraits/men/88.jpg,Internal Communications,,rick@acme.com,,2010-07-12,Headquarters
Marshall,Flores,marshall@acme.com,http://api.randomuser.me/portraits/men/70.jpg,Recruiter,415-574-8453,mcollins@acme.com,,2012-12-07,Headquarters
Brian,Russell,brian@acme.com,http://api.randomuser.me/portraits/men/67.jpg,IT Specialist,,serenity@acme.com,,2011-02-17,Headquarters
Don,Spencer,don@acme.com,http://api.randomuser.me/portraits/men/22.jpg,VP Engineering,415-666-7826,duane@acme.com,Engineering,2012-09-05,Headquarters
Dora,Montgomery,dora@acme.com,http://api.randomuser.me/portraits/women/65.jpg,Director of Product,,duane@acme.com,Product,2012-12-06,Headquarters
Isaiah,Johnson,isaiah@acme.com,http://api.randomuser.me/portraits/men/32.jpg,Senior Product Manager,415-707-0744,dora@acme.com,,2010-01-22,Headquarters
Michele,Mason,michele@acme.com,http://api.randomuser.me/portraits/women/22.jpg,Mobile Product Manager,415-845-3024,dora@acme.com,,2013-09-21,Headquarters
Teresa,Fuller,teresa@acme.com,http://api.randomuser.me/portraits/women/59.jpg,Associate Product Manager,415-204-5163,isaiah@acme.com,,2010-11-16,Headquarters
Hunter,Murray,hunter@acme.com,http://api.randomuser.me/portraits/men/25.jpg,Product Manager,415-816-8608,dora@acme.com,,2011-01-01,Headquarters
Nathan,Olson,nathan@acme.com,http://api.randomuser.me/portraits/men/32.jpg,Product Designer,415-653-6680,gladys@acme.com,,2012-01-31,Headquarters
Bertha,Rodriguez,bertha@acme.com,http://api.randomuser.me/portraits/women/37.jpg,UX Designer,415-576-1272,gladys@acme.com,,2012-10-05,Headquarters
Gladys,Gilbert,gladys@acme.com,http://api.randomuser.me/portraits/women/57.jpg,Sr. UX Designer,415-857-6800,dora@acme.com,Design & UX,2014-03-02,Headquarters
Charles,Chambers,charles@acme.com,http://api.randomuser.me/portraits/men/14.jpg,DevOps Director,415-565-0188,don@acme.com,DevOps,2015-03-12,Headquarters
