first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Jackie,Mayer,jackie@box.com,https://media.licdn.com/media/AAEAAQAAAAAAAAOCAAAAJGQ1NmNiNGM3LWY3Y2MtNDdkNy1iZmI1LWZmYjE2YjA0NzBlNw.jpg,Corporate Account Executive,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Internal Finance,False,hariram@box.com,2005-06-06,1974-05-27
Ian,McNish,ian@box.com,https://media.licdn.com/media/p/7/005/04f/03e/047ca6e.jpg,StartX & 500 Startups Mentor. Angel Investor. Diet Coke aficionado,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Growth Executives,False,allen@box.com,2014-04-18,1999-11-17
Rand,Wacker,rand@box.com,https://media.licdn.com/media/p/5/005/026/2fc/03eb430.jpg,"VP, Enterprise Product",(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Saftey Sales,False,czhang@box.com,2009-06-27,1991-03-19
Tim,Berry,tim@box.com,https://media.licdn.com/media/p/8/000/207/249/3ff9aec.jpg,Sr Technical Support Manager,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Consumer Finance,True,theilig@box.com,2013-02-19,1999-09-19
David,DiNucci,david@box.com,,Premier Services,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Internal Saftey,False,kattwood@box.com,2005-04-01,1990-02-04
Carolyn,Bao,carolyn@box.com,https://media.licdn.com/media/p/7/005/048/394/215005f.jpg,Digital Marketing Expert,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Operations Design,False,emedak@box.com,2012-10-16,1975-01-25
Jamie,Perlman,jamie@box.com,https://media.licdn.com/media/AAEAAQAAAAAAAAOGAAAAJDQ5Y2U4NDJkLTQwMzUtNGM1OC1hODJlLThjMTdhNDk0ZWZlYQ.jpg,Vice President of Business Development,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Growth Insights,True,lesley@box.com,2006-08-22,1973-11-15
Deepak,Murthy,deepak@box.com,https://media.licdn.com/media/p/3/000/003/30e/2938ab1.jpg,Chief of Staff + Head of International,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,of Staff + Head of International,True,aaron@box.com,2005-03-19,1976-03-09
David,Ginsburg,dginsburg@box.com,https://media.licdn.com/media/p/1/000/0e9/033/2d4a182.jpg,"Digital, Marketing & eCommerce Executive",(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Growth Communications,True,todd@box.com,2013-02-04,1979-10-15
Danny,Raja,danny@box.com,https://media.licdn.com/media/p/4/000/15f/33e/1fd3676.jpg,Sales Director - Australia | New Zealand,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Insights Recruiting,True,helen@box.com,2014-02-24,1987-04-04
Manunya,Rozelle,manunya@box.com,,Data,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Optimizing Support,False,derrick@box.com,2006-10-05,1974-11-06
Martin,Destagnol,martin@box.com,https://media.licdn.com/media/p/5/005/02d/108/226fa6b.jpg,Director of Mobile Engineering,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Operations Product,False,sandra@box.com,2010-06-16,1973-11-14
Christian,DiCarlo,christian@box.com,https://media.licdn.com/media/p/7/005/083/39f/31d795e.jpg,"Director, Business Development",(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Insights Advocate,False,eblevins@box.com,2006-10-26,1996-05-18
Ted,Blosser,ted@box.com,https://media.licdn.com/media/p/1/000/218/37a/3a22144.jpg,Product Manager,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Internal Success,False,jeremy@box.com,2008-08-01,1978-05-03
Aaron,Levie,aaron@box.com,https://media.licdn.com/media/p/5/000/1ba/073/06005e0.jpg,CEO,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Executive Office,True,,2012-11-18,1995-02-27
Nicholas C.,Zakas,nicholas@box.com,https://media.licdn.com/media/p/3/000/0c4/00f/3a765c0.jpg,Principal Architect,(415) 234-23232,4440 El Camino Rea,Los Altos,Los Altos,CA,94022,US,37.402538,-122.116130,https://cloud.app.box.com/representation/file_version_23118880613/image_2048_jpg/1.jpg?shared_name=q8gl0u8t6f4l841u6odhczdedvr6a5qn,Special Marketing,False,sofie@box.com,2009-11-09,1997-09-26
