first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Deanna,"Wise, PMP",deanna@dignityhealth.com,https://media.licdn.com/media/p/4/000/16f/1e4/1418e48.jpg,EVP & Chief Information Officer at Dignity Health formerly Catholic Healthcare West,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Special Executives,False,joanie@dignityhealth.com,2009-08-01,1974-06-17
Nick,Cifuentes,nick@dignityhealth.com,https://media.licdn.com/media/p/8/005/056/19f/25575f8.jpg,"Director, Digital Engagements at Dignity Health",(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,International Design,False,kelsi@dignityhealth.com,2013-08-10,1979-06-01
Rich,Roth,rich@dignityhealth.com,https://media.licdn.com/media/p/1/000/070/24f/3c8848c.jpg,Strategy and Innovation Leader,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,"Flight Nurse, ER Nurse, Paramedic and EMS Educator",False,dana@dignityhealth.com,2008-10-26,1996-10-05
Wanda,Cole-Frieman,wanda@dignityhealth.com,https://media.licdn.com/media/p/7/000/2a2/2f2/346ab3d.jpg,"VP, Talent Acquisition at Dignity Health",(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Co-Founder & Vice President at Southwest Physician Recruiters Association,False,arlene@dignityhealth.com,2011-07-17,1984-01-18
Steve,"Bradbury, PMP",steve@dignityhealth.com,https://media.licdn.com/media/p/1/000/119/1ab/0924636.jpg,"Principal Consultant at CCI Consuling, LLC",(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Internal Strategy,False,jarbuckle@dignityhealth.com,2009-01-19,1993-03-14
Anita,Pramoda,anita@dignityhealth.com,https://media.licdn.com/media/p/2/000/215/217/08279fb.jpg,Making healthcare awesome through empathy and technology,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Sales,False,jbarclay@dignityhealth.com,2009-03-10,1997-04-24
John,de Souza,john@dignityhealth.com,https://media.licdn.com/media/p/2/000/071/07e/3389e46.jpg,"President, Consumer Health Division at Physicians Interactive",(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Corporate Strategy and Growth at Dignity Health,False,scott@dignityhealth.com,2011-02-26,1985-11-06
Ray,Lowe,ray@dignityhealth.com,https://media.licdn.com/media/p/1/000/07c/246/057495e.jpg,Sr Director IT - Enterprise Technology & Infrastructure,(415) 234-23232,11640 San Vicente Blvd,Los Angeles - Brentwood,Los Angeles,CA,90049,USA,34.053392,-118.462544,http://homehero-production.s3.amazonaws.com/article-assets/Los-Angeles-Skyline.jpg,People Accounting,False,amritpal@dignityhealth.com,2010-10-27,1999-07-23
Norman,Carter,norman@dignityhealth.com,,IT Business Systems Analyst at Dignity Health,(415) 234-23232,11640 San Vicente Blvd,Los Angeles - Brentwood,Los Angeles,CA,90049,USA,34.053392,-118.462544,http://homehero-production.s3.amazonaws.com/article-assets/Los-Angeles-Skyline.jpg,Growth Accounting,False,tonya@dignityhealth.com,2010-02-22,1975-01-22
Andre,Avaregan,andre@dignityhealth.com,https://media.licdn.com/media/p/2/000/0dd/069/3ef9bbf.jpg,EUS Technician II,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Optimizing Human Resources,True,chad@dignityhealth.com,2009-08-17,1998-01-06
Sunil,Kakade,sunil@dignityhealth.com,https://media.licdn.com/media/p/7/005/084/360/12975db.jpg,"Director, Information and Application Architecture  at Dignity Health",(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Saftey Design,False,jstevenson@dignityhealth.com,2009-10-07,1984-07-08
Kent,Bradley,kent@dignityhealth.com,https://media.licdn.com/media/p/2/000/0f6/359/33d133a.jpg,Founder at BTN Advisors,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Founder at BTN Advisors,True,"dzuccolotto, ph.d.@dignityhealth.com",2011-07-02,1982-07-14
