first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Chris,Barton,chris@dropbox.com,https://media.licdn.com/media/p/8/005/036/199/2d184ae.jpg,Head of Mobile Operator Business Development (Dropbox),(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Operations Departments,False,bthanhouser@dropbox.com,2008-05-02,1974-07-11
Alexandra,Yick,alexandra@dropbox.com,https://media.licdn.com/media/AAEAAQAAAAAAAADMAAAAJDdmYzdlMmU1LTFjZDktNGM4MS1hYjkwLWNjNGZmYjRlYWI0Ng.jpg,Strategic Account Manager at Dropbox,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,International Support,False,yi@dropbox.com,2009-06-17,1996-02-12
Tony,Huie,tony@dropbox.com,https://media.licdn.com/media/p/2/000/026/1df/0797c75.jpg,Dropbox Worldwide,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Consumer Finance,False,amanookian@dropbox.com,2010-09-24,1996-07-04
Sanjana,Tandon,sanjana@dropbox.com,https://media.licdn.com/media/p/2/000/190/073/13b3ff1.jpg,Partnerships at Dropbox,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Saftey Support,False,pete@dropbox.com,2007-02-03,1981-04-02
Karen,Nga,karen@dropbox.com,https://media.licdn.com/media/p/8/005/033/090/2d18759.jpg,Building collaborative networks through Dropbox for Business,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Strategy,False,matthew@dropbox.com,2006-08-12,1979-09-27
Matt,Spitz,matt@dropbox.com,https://media.licdn.com/media/AAEAAQAAAAAAAAADAAAAJDQ2OTI0ZmY0LTY3ODEtNGQ1OS1hY2Q3LWY1MzNhNTlmMzkyMg.jpg,Head of Engineering at Dropbox NYC,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,International Engineering,False,leah@dropbox.com,2010-03-05,1995-07-05
Allison,Falk,allison@dropbox.com,https://media.licdn.com/media/AAEAAQAAAAAAAAI-AAAAJGIyODViZjBkLTdjNmQtNDFlZS05OTJjLTI0YmUxNDU3MGQ4OA.jpg,Revenue Program Development at Dropbox,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Success,False,tyler@dropbox.com,2012-09-14,1973-06-03
Danna,Rubin,danna@dropbox.com,https://media.licdn.com/media/p/3/000/0b8/362/004104e.jpg,HR Business Partner at Dropbox,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Advocate,False,ada@dropbox.com,2012-05-08,1978-04-21
Erik,Hope,erik@dropbox.com,https://media.licdn.com/media/p/4/000/15d/064/1f7c9f9.jpg,Engineer at Dropbox,(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Marketing,False,croberson@dropbox.com,2012-07-01,1992-05-01
Alex,Graveley,alex@dropbox.com,https://media.licdn.com/media/p/1/000/0d6/106/05c26bf.jpg,"Founder, Engineer",(415) 234-23232,155 5th Street,San Francisco,San Francisco,CA,94105,USA,37.782272,-122.405496,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,"Founder, Engineer",True,drew@dropbox.com,2009-02-03,1990-03-19
