first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Griffin,Goc,griffin@gametime.co,https://media.licdn.com/media/p/8/000/2c8/134/01883d4.jpg,Seller Relations Manager at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Revenue Officer at Gametime United,False,colin@gametime.co,2010-06-24,1972-05-24
Chris,Upton-Weber,chris@gametime.co,https://media.licdn.com/media/p/2/000/101/09d/0e2e619.jpg,Staffing & HR,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Assitant Strategy,False,caroline@gametime.co,2013-08-09,1970-01-11
Brad,Griffith,brad@gametime.co,https://media.licdn.com/media/AAEAAQAAAAAAAAMcAAAAJGFmZWY0MzZmLWRkMWEtNGU0OC1iZWRhLTk2ZmU4YTI5YzE0Zg.jpg,CEO and Builder at Gametime found at gametime.co/app,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Executive Office,True,,2005-02-04,1970-08-25
Colin,Evans,colin@gametime.co,https://media.licdn.com/media/p/1/000/001/0be/0f8d201.jpg,Chief Revenue Officer at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Revenue Officer at Gametime United,True,brad@gametime.co,2014-02-27,1973-09-12
Jonathan,Eide,jonathan@gametime.co,https://media.licdn.com/media/p/1/000/003/0a4/3034a57.jpg,"Director, Product Strategic Planning, Facebook",(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Revenue Officer at Gametime United,False,colin@gametime.co,2008-08-18,1996-06-14
Andy,Anderson,andy@gametime.co,https://media.licdn.com/media/p/3/000/0bc/01e/2240f00.jpg,Business Development @ Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Human Resources,False,chelsea@gametime.co,2009-09-19,1976-02-08
Michael,Guercio,michael@gametime.co,https://media.licdn.com/media/p/5/005/0a6/122/1477ed1.jpg,Providing the Ultimate Fan Experience at Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Optimizing Design,True,colin@gametime.co,2013-11-12,1972-04-17
Max,Tcheyan,max@gametime.co,https://media.licdn.com/media/p/1/005/029/126/02781b6.jpg,Growth and Marketing at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Enterprise Marketing,True,cfong@gametime.co,2007-05-11,1971-03-08
Ben,Kim,ben@gametime.co,https://media.licdn.com/media/p/1/000/1a2/25e/3322640.jpg,VP Product Management,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Experience,True,malcantara@gametime.co,2014-05-09,1970-01-05
Chelsea,Brown,chelsea@gametime.co,https://media.licdn.com/media/AAEAAQAAAAAAAAK6AAAAJGRmYTI4NzFjLWY4MzEtNGY4MS04YmIwLTFhNGUxODYzZTE1NA.jpg,Operations Manager at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Human Resources,True,cfong@gametime.co,2006-04-05,1974-04-04
Sean,Pate,sean@gametime.co,https://media.licdn.com/media/p/3/000/112/3ec/1c64556.jpg,Head of Communications at Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Human Resources,False,chelsea@gametime.co,2005-05-16,1973-08-14
Vijay Raghavan,Ramanan,vijay@gametime.co,https://media.licdn.com/media/p/2/000/2cd/2ac/3b4f5c8.jpg,Senior Software Engineer at Gametime United | Carnegie Mellon University,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Experience,False,ben@gametime.co,2008-04-15,1984-08-07
David,Gertmenian-Wong,david@gametime.co,https://media.licdn.com/media/p/7/005/085/2c4/125300c.jpg,Software Engineer at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Experience,False,ben@gametime.co,2007-04-08,1981-03-02
Rich,Lowenberg,rich@gametime.co,https://media.licdn.com/media/p/7/005/053/242/3340e04.jpg,Senior iOS / software architect and entrepreneur,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Vertical Development,False,malcantara@gametime.co,2014-11-26,1976-03-06
Christopher,Kung,christopher@gametime.co,https://media.licdn.com/media/p/2/000/1aa/3cb/3c22b39.jpg,Director of Growth at Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Assitant Strategy,False,caroline@gametime.co,2008-02-01,1971-02-19
John,Hession,john@gametime.co,https://media.licdn.com/media/p/2/000/096/3dc/1c79767.jpg,Growth @ Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Human Resources,False,chelsea@gametime.co,2012-03-26,1990-01-05
Jamie,Tsao,jamie@gametime.co,https://media.licdn.com/media/AAEAAQAAAAAAAAG0AAAAJGJhZGE0MDMyLTUzNzctNDJjZi1hNDk5LWRjZWQ5NjM3OGZhYg.jpg,Senior Engineer at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Assitant Strategy,False,caroline@gametime.co,2012-05-16,1996-11-16
Som,Poddar,som@gametime.co,https://media.licdn.com/media/p/2/005/049/275/399077b.jpg,Software Engineer at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Client Finance,False,luke@gametime.co,2009-08-03,1970-04-07
Eric,Nicholas,eric@gametime.co,https://media.licdn.com/media/p/7/005/045/1c0/1b04524.jpg,Senior Software Engineer at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Experience,False,ben@gametime.co,2014-08-27,1986-04-14
Jairo,Avalos,jairo@gametime.co,,Design Lead at Gametime,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Insights,False,cfong@gametime.co,2005-06-04,1987-10-27
Alyssa,Carrion,alyssa@gametime.co,https://media.licdn.com/media/AAEAAQAAAAAAAAJ5AAAAJGY4ODMyZjViLWY2YmItNDRmOC05NjQxLTcxNWM3ODM4M2YzYw.jpg,Fan Happiness Associate  at Gametime United,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Consumer Human Resources,False,chelsea@gametime.co,2005-02-04,1988-06-11
Tony,Lamadora,tony@gametime.co,https://media.licdn.com/media/p/6/005/09a/27f/16bb37b.jpg,Graphic Design Professional,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,Vertical Design,False,steffan@gametime.co,2007-09-16,1981-06-23
William,Kang,william@gametime.co,https://media.licdn.com/media/p/4/000/161/045/3b56a4a.jpg,Growth Manager at Gametime.co,(415) 234-23232,"1 Front Street, Suite 2700",San Francisco HQ,San Francisco,CA,94111,US,37.791876,-122.398781,,International Insights,False,cfong@gametime.co,2007-07-02,1996-05-10
