first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,team,owns_team,manager_email,hire_date,birth_date
Kevin,Hartz,kevin@gopro.com,https://media.licdn.com/media/p/6/005/03b/16b/0959fbc.jpg,Founder & CEO,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Account Development,False,alisa@gopro.com,2008-06-22,1979-02-02
Simon,Willison,simon@gopro.com,https://media.licdn.com/media/p/1/005/030/2a1/1cad095.jpg,Director of Architecture,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,People Communications,False,alexis@gopro.com,2005-08-02,1971-07-15
Sean,Coady,sean@gopro.com,https://media.licdn.com/media/p/1/000/10d/2c8/23eba1f.jpg,Mobile Engineering,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Internal Executives,False,tracy@gopro.com,2013-05-07,1993-07-12
Emily,"Couey, SPHR",emily@gopro.com,https://media.licdn.com/media/p/6/000/1ff/2a3/0db0e7f.jpg,Head of People,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Internal Departments,False,marcee@gopro.com,2007-03-03,1972-02-13
Brian,Rothenberg,brian@gopro.com,https://media.licdn.com/media/p/5/005/036/185/37b45e5.jpg,Sr. Director / Head of Growth & User Acquisition,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Growth Strategy,False,matt@gopro.com,2013-09-15,1976-05-07
Jackie,Keh,jackie@gopro.com,https://media.licdn.com/media/p/3/000/097/3cb/28d68ab.jpg,IT Support Engineer,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Internal Executives,True,sgoldine@gopro.com,2013-07-26,1982-02-22
Renaud,Visage,renaud@gopro.com,https://media.licdn.com/media/p/1/005/08e/1ca/060b14b.jpg,Co-Founder & CTO,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Information,False,tony@gopro.com,2005-09-03,1977-08-23
Nels,Gilbreth,nels@gopro.com,https://media.licdn.com/media/p/3/000/214/06d/3fccebb.jpg,VP of Finance,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Finance,True,nwoodman@gopro.com,2013-06-06,1982-03-06
April,Chang,april@gopro.com,https://media.licdn.com/media/p/2/000/0b9/223/1e41e9f.jpg,VP of Engineering,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Engineering,True,nwoodman@gopro.com,2010-11-09,1995-04-15
Ben,Rubke,ben@gopro.com,https://media.licdn.com/media/p/1/000/03e/2c2/26d127b.jpg,Director of Sales,(415) 234-23232,1161 Mission Street,San Francisco HQ,San Francisco,CA,94103,US,37.778063,-122.412181,Vertical Human Resources,False,paola@gopro.com,2012-05-08,1993-11-14
