first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Oliver,Hsiang,oliver@lyft.com,https://media.licdn.com/media/AAEAAQAAAAAAAABcAAAAJGI1MWZhNjY2LWQwYzgtNGMwOC05MjY0LTVkZDljNjk3Mjc4ZA.jpg,Partnerships & Business Development,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Operations Success,False,martin@lyft.com,2013-02-09,1983-11-23
David,Estrada,david@lyft.com,https://media.licdn.com/media/p/8/005/0b1/250/37e9fe1.jpg,VP Government Relations,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Account Product,False,vanessa@lyft.com,2013-05-24,1991-05-09
Chris,Pouliot,chris@lyft.com,https://media.licdn.com/media/p/3/000/027/130/37cca72.jpg,"VP, Data Science",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Enterprise Human Resources,False,jacqueline@lyft.com,2014-09-15,1997-10-27
Frank,Yoo,frank@lyft.com,https://media.licdn.com/media/AAEAAQAAAAAAAANeAAAAJGNhOTkxODNiLWMyMmUtNGU3Zi05MDhkLTUyZDk2M2I4NmIwMw.jpg,Director of Product Design,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Internal Communications,False,amrit@lyft.com,2010-10-22,1993-08-09
Michael,Lodick,michael@lyft.com,https://media.licdn.com/media/p/3/000/035/1c6/0f9f7d9.jpg,Software Architect,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Saftey,True,lzickuhr@lyft.com,2008-05-07,1989-10-27
Joseph,Okpaku,joseph@lyft.com,https://media.licdn.com/media/AAEAAQAAAAAAAAJ5AAAAJDIzZmZlZDhmLThiYTgtNDY2Yy1iZjlkLTQ2MmIzY2UwNjExOQ.jpg,Director of Public Policy,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Assitant Executives,False,shadley@lyft.com,2011-07-19,1976-08-19
Emily,Castor,emily@lyft.com,https://media.licdn.com/media/p/6/005/07c/1e2/2567262.jpg,Director of Transportation Policy,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Human Resources,False,steven@lyft.com,2013-11-21,1980-01-21
Jatin,Chopra,jatin@lyft.com,https://media.licdn.com/media/p/6/005/012/120/33541cb.jpg,Engineering Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Special Strategy,True,rex@lyft.com,2007-01-16,1985-09-13
Insiya,Lokhandwala,insiya@lyft.com,https://media.licdn.com/media/p/5/005/08e/05e/1ed0f76.jpg,"Director, Business Development",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Saftey Recruiting,True,michael@lyft.com,2010-10-16,1970-08-06
Kate,Botler,kate@lyft.com,https://media.licdn.com/media/p/5/000/1fd/276/254be38.jpg,Head of Business Recruiting & HRBP,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Executives,False,mpruitt@lyft.com,2010-05-03,1992-04-02
