first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Boris,Ratchev,boris@netflix.com,https://media.licdn.com/media/p/2/000/0d4/1d0/0f68916.jpg,Science and Algorithms Team,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Assitant Happiness,False,mhastings@netflix.com,2014-10-17,1985-10-05
Kevin,Mcentee,kevin@netflix.com,https://media.licdn.com/media/p/3/000/1b0/02c/25ab4e7.jpg,"Vice President, Digital Supply Chain",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Growth Happiness,True,dwells@netflix.com,2009-08-03,1994-11-18
Steven,Dreyer,steven@netflix.com,https://media.licdn.com/media/AAEAAQAAAAAAAAEaAAAAJDRlYmQwYWU4LTdiY2ItNGVhNy1hYzI4LTQ5NWM2NDA0MGQwNA.jpg,Product Designer and Design Strategist,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Client Advocate,False,nryabov@netflix.com,2009-01-22,1973-03-02
Neil,Hunt,neil@netflix.com,https://media.licdn.com/media/p/3/000/00c/2d1/3d54890.jpg,Chief Product Officer,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Product,True,reed@netflix.com,2014-04-12,1971-05-14
John,Chou,john@netflix.com,https://media.licdn.com/media/p/6/005/066/37e/00f802b.jpg,Senior Data Analyst,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Client Experience,False,nellie@netflix.com,2009-07-10,1992-02-19
Oliver,Petry,oliver@netflix.com,https://media.licdn.com/media/p/7/005/0ad/32a/2184bf3.jpg,"Tech Executive | TV Embedded, Mobile, Enterprise | Product Operations, Progr & QA Management, Big Data",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Internal Strategy,True,byron@netflix.com,2011-06-20,1982-04-24
Joel,Sass,joel@netflix.com,https://media.licdn.com/media/p/1/000/049/221/307e3ea.jpg,Lead User Interface Engineer - Acquisition,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Assitant Departments,False,omid@netflix.com,2009-05-06,1999-04-24
Carlos,Gomez Uribe,carlos@netflix.com,https://media.licdn.com/media/p/5/005/083/0e1/1f868b7.jpg,Vice President of Product Innovation,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Special Accounting,False,shanda@netflix.com,2005-05-03,1978-01-11
Leslie,Kilgore,leslie@netflix.com,https://media.licdn.com/media/p/1/000/059/35f/28c6dcd.jpg,"Member, Board of Directors",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Operations Support,False,mark@netflix.com,2008-11-10,1982-05-05
Stephen,Garcia,stephen@netflix.com,https://media.licdn.com/media/p/1/000/024/01b/1aa9067.jpg,"Director, Product Innovation",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,International Executives,False,chintan@netflix.com,2012-09-05,1984-05-03
Nirmal,Govind,nirmal@netflix.com,https://media.licdn.com/media/p/3/000/255/28b/1813c9f.jpg,"(I'm Hiring) Director, Streaming Science & Algorithms",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Enterprise Success,False,farhan@netflix.com,2011-11-12,1989-08-27
Tony,Koinov,tony@netflix.com,https://media.licdn.com/media/p/8/000/1c7/28f/01a901a.jpg,"VP Engineering, Global Commerce & Experience at GoDaddy",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Client Finance,False,shane@netflix.com,2009-03-02,1994-08-17
Philip,Fisher-Ogden,philip@netflix.com,https://media.licdn.com/media/p/5/005/0a3/04a/27ba436.jpg,"Director of Engineering, Playback Services",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Saftey Executives,False,christopher@netflix.com,2011-07-04,1985-03-17
Josh,Evans,josh@netflix.com,https://media.licdn.com/media/p/3/000/01a/398/2d3d41b.jpg,Director of Operations Engineering,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Operations Happiness,False,mconner@netflix.com,2005-07-03,1978-07-19
Jeremy,Edberg,jeremy@netflix.com,https://media.licdn.com/media/p/2/000/0c6/39c/23e6389.jpg,Information Cowboy,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Account Insights,False,sriram@netflix.com,2007-10-16,1999-08-25
Gopal,Krishnan,gopal@netflix.com,https://media.licdn.com/media/p/2/000/07f/310/0a954d8.jpg,"Director, Consumer Science Engineering",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Special Design,False,suresh@netflix.com,2009-01-14,1989-02-15
Michael,Pow,michael@netflix.com,,"Product Manager, Ad Technology",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Enterprise Happiness,True,sameer@netflix.com,2008-03-11,1971-10-02
Seth,Katz,seth@netflix.com,,,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Internal Development,False,revathi@netflix.com,2006-01-09,1973-08-09
Roelof,van Zwol,roelof@netflix.com,https://media.licdn.com/media/p/1/000/013/056/20bcba9.jpg,"Director of Product Innovation, Search and Personalization Algorithms",(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Assitant Success,False,bernd@netflix.com,2006-11-25,1975-10-25
Stella,Hwang,stella@netflix.com,https://media.licdn.com/media/p/1/000/188/0eb/364caba.jpg,UI Design Special Agent for Hire,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Operations Experience,False,marina@netflix.com,2009-06-21,1972-04-16
Erin,Kasenchak,erin@netflix.com,https://media.licdn.com/media/p/2/000/0a8/161/209a1ae.jpg,Director of Investor Relations,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Enterprise Happiness,False,michael@netflix.com,2010-05-05,1996-02-16
Alistair,Crooks,alistair@netflix.com,https://media.licdn.com/media/p/3/000/039/144/1b607d3.jpg,Senior Software Engineer,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,People Advocate,False,dhyman@netflix.com,2014-09-19,1987-05-23
Dantley,Davis,dantley@netflix.com,https://media.licdn.com/media/p/5/005/0ae/2f2/0314e08.jpg,Design Director,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,Vertical Development,False,ashelby ramberg@netflix.com,2011-09-05,1995-09-03
Sagar,Nallapareddy,sagar@netflix.com,https://media.licdn.com/media/p/8/005/0a5/273/2068c23.jpg,Data Engineering and Analytics Leader,(415) 234-23232,100 Winchester Circle,Los Gatos,Los Gatos,CA,95032,US,37.259599,-121.962635,http://silverscreeningreviews.com/wp-content/uploads/2014/10/ENTER_NETFLIX_LA.jpg,International Departments,False,rashmi@netflix.com,2005-05-14,1991-10-13
