first_name,last_name,email,image_url,title,cell_phone,office_name,office_address_1,office_city,office_region,office_postal_code,office_country_code,team,owns_team,manager_email,office_latitude,office_longitude,birth_date,hire_date,office_image_url
Kevin,Hartz,kevin@eventbrite.com,https://c1.staticflickr.com/7/6081/6090174163_38925a4e13_z.jpg,Co-founder & CEO,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Executive Office,1,,37.782264,-122.405539,1980-01-25,2010-01-10,https://www.imageurl.com/image
Julia,Hartz,julia@eventbrite.com,https://pbs.twimg.com/profile_images/378800000087459003/f1a77f9d1f238f29f0356814a321a41a_400x400.jpeg,Co-founder & President,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Executive Office,,kevin@eventbrite.com,37.782264,-122.405539,1980-01-26,2010-01-11,https://www.imageurl.com/image
Pat,Poels,pat@eventbrite.com,https://media.licdn.com/mpr/mpr/shrink_200_200/p/3/000/0b4/08b/3689d38.jpg,VP of Engineering,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Engineering,1,kevin@eventbrite.com,37.782264,-122.405539,1980-01-27,2010-01-12,https://www.imageurl.com/image
Dana,Kilian,dana@eventbrite.com,https://ebmedia.eventbrite.com/s3-build/24742-rc2014-11-24-9d4b0f3/django/images/pages/corp/leaders_dana.jpg,VP of Customer Experience,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,We Rock,1,kevin@eventbrite.com,37.782264,-122.405539,1980-01-28,2010-01-13,https://www.imageurl.com/image
Nels,Gilbreth,nels@eventbrite.com,https://lh6.googleusercontent.com/-NJ4RwNbumuU/AAAAAAAAAAI/AAAAAAAAAAA/YWPqiqVGxYg/photo.jpg,VP of Finance,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Finance,,mark@eventbrite.com,37.782264,-122.405539,1980-01-29,2010-01-14,https://www.imageurl.com/image
Mark,Rubash,mark@eventbrite.com,https://ebmedia.eventbrite.com/s3-build/24742-rc2014-11-24-9d4b0f3/django/images/pages/corp/leaders_mark.jpg,CFO,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Finance,1,kevin@eventbrite.com,37.782264,-122.405539,1980-01-30,2010-01-15,https://www.imageurl.com/image
Renaud,Visage,renaud@eventbrite.com,http://pioneers.io/wp-content/uploads/2013/06/renaud-vis.jpeg,Co-founder & CTO,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Engineering,,pat@eventbrite.com,37.782264,-122.405539,1980-01-31,2010-01-16,https://www.imageurl.com/image
Matt,Rosenberg,matt@eventbrite.com,https://lh3.googleusercontent.com/-qFF2jxRZ4fQ/AAAAAAAAAAI/AAAAAAAAAAA/sBsj373UlJg/photo.jpg,SVP of Sales & Business Development,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Sales,1,kevin@eventbrite.com,37.782264,-122.405539,1980-02-01,2010-01-17,https://www.imageurl.com/image
Tamara,Mendelson,tamara@eventbrite.com,http://therealtimereport.com/wp-content/uploads/2011/04/Tamara-Mendelsohn.png,VP of Marketing,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Marketing,1,kevin@eventbrite.com,37.782264,-122.405539,1980-02-02,2010-01-18,https://www.imageurl.com/image
Randy,Befumo,randy@eventbrite.com,https://media.licdn.com/mpr/mpr/shrink_200_200/p/8/005/035/134/3236356.jpg,VP of Strategy,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Strategy,1,kevin@eventbrite.com,37.782264,-122.405539,1980-02-03,2010-01-19,https://www.imageurl.com/image
Laurent,Sellier,laurent@eventbrite.com,http://m.c.lnkd.licdn.com/mpr/mpr/shrink_200_200/p/3/000/1e9/0cd/0a6c458.jpg,VP of Product,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Product,1,kevin@eventbrite.com,37.782264,-122.405539,1980-02-04,2010-01-20,https://www.imageurl.com/image
April,Chang,april@eventbrite.com,http://ww1.prweb.com/prfiles/2014/06/09/11929860/gI_64610_April%202014%20Headshot.png,"VP of Engineering, Consumer",(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Consumer Growth,1,pat@eventbrite.com,37.782264,-122.405539,1980-02-05,2010-01-21,https://www.imageurl.com/image
David,Good,david@eventbrite.com,,Director of Discovery,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Discovery,1,april@eventbrite.com,37.782264,-122.405539,1980-02-06,2010-01-22,https://www.imageurl.com/image
Ravi,Rani,ravi@eventbrite.com,,Engineering Manager,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,iOS,1,david@eventbrite.com,37.782264,-122.405539,1980-02-07,2010-01-23,https://www.imageurl.com/image
Kiel,Oleson,kiel@eventbrite.com,,iOS Engineer,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,iOS,,ravi@eventbrite.com,37.782264,-122.405539,1980-02-08,2010-01-24,https://www.imageurl.com/image
Michael,Hahn,mhahn@eventbrite.com,,Senior Software Engineer,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,iOS,,ravi@eventbrite.com,37.782264,-122.405539,1980-02-09,2010-01-25,https://www.imageurl.com/image
Erik,Folsom,erik@eventbrite.com,,Senior Software Engineer,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,iOS,,ravi@eventbrite.com,37.782264,-122.405539,1980-02-10,2010-01-26,https://www.imageurl.com/image
Tom,Insam,tom.insam@eventbrite.com,,Principal Software Engineer,(413) 345-2849,SF HQ,155 5th Street,San Francisco,CA,94115,US,Android,1,ravi@eventbrite.com,37.782264,-122.405539,1980-02-11,2010-01-27,https://www.imageurl.com/image
