first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Dan,Rummel,dan@shyp.com,https://media.licdn.com/media/p/2/000/108/065/3bf8235.jpg,CTO,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Engineering,True,kevin@shyp.com,2008-02-25,1970-06-10
Kurt,Varner,kurt@shyp.com,https://media.licdn.com/media/AAEAAQAAAAAAAAN_AAAAJDVkZTcwMzIyLTU2Y2ItNDUxNi1hYjUzLWI1ZWE1NTlkMzNhMQ.jpg,Director of Design,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Co-founder,False,joshua@shyp.com,2006-04-25,1996-10-16
Jiashu,Wang,jiashu@shyp.com,https://media.licdn.com/media/AAEAAQAAAAAAAAKZAAAAJDUwZWM5MjhmLTg4MzAtNDY2Yi04ZmQ1LTE3MmY2MjI1NjgzNA.jpg,Senior iOS Engineer,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Engineering,False,dan@shyp.com,2007-01-14,1990-11-19
Charlie,Hughes,charlie@shyp.com,https://media.licdn.com/media/p/6/005/075/2c5/173ed33.jpg,Growth and Analytics,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights People,False,james@shyp.com,2010-05-02,1975-05-06
Jabu,Dayton,jabu@shyp.com,https://media.licdn.com/media/p/5/005/063/3e3/3995f47.jpg,Chief People Officer,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,People,True,kevin@shyp.com,2008-10-27,1972-06-23
Rob,Wang,rob@shyp.com,https://media.licdn.com/media/p/5/005/064/273/2c05c6e.jpg,Investor / Advisor,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Strategy,True,jabu@shyp.com,2005-06-12,1985-09-23
Lauren,Sherman,lauren@shyp.com,https://media.licdn.com/media/p/6/005/065/37a/1763b5c.jpg,Head of Marketing,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Engineering,False,dan@shyp.com,2012-04-21,1991-10-20
Casey,Crites,casey@shyp.com,https://media.licdn.com/media/p/6/000/289/359/1370101.jpg,Director of Engineering,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Internal Saftey,False,randy@shyp.com,2009-09-16,1980-04-24
Andrew,Wyatt,andrew@shyp.com,https://media.licdn.com/media/AAEAAQAAAAAAAAMyAAAAJDEwZjlmZGVmLWU3MmItNGM5YS04M2I2LWNlMThkZGQ3OTNlYg.jpg,Head of Operations,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Optimizing Advocate,False,anucci@shyp.com,2012-01-11,1989-05-17
Jing-Jing,Li,jing-jing@shyp.com,https://media.licdn.com/media/p/1/000/18d/073/116732c.jpg,BizOps & Strategy @,(415) 234-23232,755 Brannan St,San Francisco,San Francisco,CA,94103,US,37.773715,-122.401678,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Experience,False,alex@shyp.com,2005-10-22,1996-07-09
