first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
AJ,Tennant,aj@slack.com,https://media.licdn.com/media/p/1/000/27b/255/22841a0.jpg,Director of Accounts at Slack,(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Optimizing Success,True,reena@slack.com,2012-09-23,1971-02-20
Maggie,Hott,maggie@slack.com,https://media.licdn.com/media/AAEAAQAAAAAAAAOOAAAAJDcyODkwZWNiLThiYzctNGFhMy1iMjA5LTdjMDM1OTViNTNkYw.jpg,"Account Manager at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,"CMO at Slack Technologies, Inc",False,bill@slack.com,2010-06-18,1976-04-20
James,Scheinblum,james@slack.com,,"Software Engineer at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Enterprise Strategy,False,nicola@slack.com,2012-02-07,1985-08-08
Judy,Wang,judy@slack.com,https://media.licdn.com/media/AAEAAQAAAAAAAAJBAAAAJDNkZGE3OTg0LTlhMjUtNDY0Yi1iNjZjLTUyODBiOWQwODZhOA.jpg,"Product Marketing at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Client Human Resources,False,sean@slack.com,2010-01-02,1986-08-03
Lauren,Hoe,lauren@slack.com,https://media.licdn.com/media/p/6/005/093/379/158c4c1.jpg,"Recruiter at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Account Product,False,samuel@slack.com,2009-03-06,1996-03-04
Farhad,Noorzay,farhad@slack.com,https://media.licdn.com/media/p/8/005/0a3/08d/2867799.jpg,"iOS Engineer at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Client Executives,False,karen@slack.com,2008-04-07,1995-01-21
Mat,Mullen,mat@slack.com,,Product Manager at Slack,(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Account Product,False,samuel@slack.com,2010-05-08,1979-02-14
Matt,Haughey,matt@slack.com,https://media.licdn.com/media/p/2/000/0dc/240/020e502.jpg,"Senior Content Marketer at Slack Technologies, Inc",(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Optimizing Success,False,aj@slack.com,2014-06-19,1987-06-27
Dana,Campbell,dana@slack.com,https://media.licdn.com/media/AAEAAQAAAAAAAAJhAAAAJDgxMmQ5MmIzLTM2NGYtNGE5NS1hZDY1LTc5MmY1Y2NmYzBjZA.jpg,IT Technical Lead at Slack,(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Assitant Departments,False,kayleigh@slack.com,2011-05-16,1973-08-27
Eli,Rosseter,eli@slack.com,https://media.licdn.com/media/p/6/005/019/15c/36dda26.jpg,software QA engineer,(415) 234-23232,680 Folsom St #145,San Francisco,San Francisco,CA,94107,US,37.784558,-122.398553,,Assitant Executives,False,anna@slack.com,2011-01-18,1993-08-05
