first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Elizabeth,Andolong,elizabeth@soul-cycle.com,,Health and Wellness Consultant,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Internal Executives,False,michael@soul-cycle.com,2013-01-15,1989-05-01
Brittney,Guillory,brittney@soul-cycle.com,https://media.licdn.com/media/p/5/005/09b/2e1/3cb9094.jpg,Advertising at Academy of Art University,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Advocate,False,robbie@soul-cycle.com,2006-04-20,1985-08-23
Alex,Caiola,alex@soul-cycle.com,https://media.licdn.com/media/p/1/005/0b3/33e/02384be.jpg,Manager of Corporate Recruiting,(415) 234-23232,103 Warren St,NY HQ,New York,NY,10007,USA,40.716188,-74.012477,http://camp-campbell.com/wp-content/uploads/2014/09/o-NEW-YORK.jpg,People Human Resources,True,peter@soul-cycle.com,2005-01-25,1987-07-02
Lauren,Hawkins,lauren@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAAC6AAAAJGJkZWU3MWMxLWNmOTUtNDU2ZS1hYjgwLWRjY2U2MTU2YjAyOQ.jpg,Front Desk at Y7 Yoga and,(415) 234-23232,103 Warren St,NY HQ,New York,NY,10007,USA,40.716188,-74.012477,http://camp-campbell.com/wp-content/uploads/2014/09/o-NEW-YORK.jpg,Consumer Finance,False,arosenblum@soul-cycle.com,2009-01-25,1973-01-06
Lauren,Rhodes,lrhodes@soul-cycle.com,https://media.licdn.com/media/p/7/005/02a/1c9/3d89676.jpg,Business Development Intern at Christie's,(415) 234-23232,11640 San Vicente Blvd,Los Angeles - Brentwood,Los Angeles,CA,90049,USA,34.053392,-118.462544,http://homehero-production.s3.amazonaws.com/article-assets/Los-Angeles-Skyline.jpg,Operations Experience,False,alexis@soul-cycle.com,2005-09-10,1993-06-25
Tatum,Getty,tatum@soul-cycle.com,,Marketing Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Assitant Finance,False,geri-nikole@soul-cycle.com,2009-01-09,1975-09-22
Sam,Moore,sam@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAAMjAAAAJDdmYWYyNWRjLTRiNTQtNDE2OS1iNjI2LTEwNTUyZjUwNTNjNw.jpg,Facilities Project Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Saftey Engineering,True,natasha@soul-cycle.com,2005-05-08,1991-03-22
Noelle,Matthews,noelle@soul-cycle.com,https://media.licdn.com/media/p/8/005/0b7/009/1bc9cf0.jpg,Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Consumer Design,True,brittany@soul-cycle.com,2006-03-03,1976-10-03
Samantha,Bass,samantha@soul-cycle.com,https://media.licdn.com/media/p/3/000/055/1f5/1baa89d.jpg,Assistant Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,People Communications,False,cwyatt@soul-cycle.com,2006-11-18,1982-09-16
Molli,Sullivan,molli@soul-cycle.com,https://media.licdn.com/media/p/1/005/09c/0d3/3271064.jpg,Instructor,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Optimizing Saftey,False,toni@soul-cycle.com,2008-02-05,1986-02-09
Bea A.,Del Rosario,bea@soul-cycle.com,,Instructor,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,International Product,False,peter@soul-cycle.com,2008-05-04,1988-03-24
Kaleigh,Shafer,kaleigh@soul-cycle.com,https://media.licdn.com/media/p/4/000/175/0ad/28812b4.jpg,Northern California Marketing Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Success,False,joel@soul-cycle.com,2012-10-24,1994-01-04
Monique,Chang,monique@soul-cycle.com,,Executive Assistant at Stanford University,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Optimizing Insights,False,skacha@soul-cycle.com,2005-06-12,1990-03-09
Lizzie,Horner,lizzie@soul-cycle.com,https://media.licdn.com/media/p/3/005/096/049/1aa7aff.jpg,Assistant Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Vertical Happiness,False,cjones@soul-cycle.com,2007-07-15,1982-05-06
Erin Lynne,Hall,erin@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAAI8AAAAJDc0MGZiNmRlLWM3OGEtNDg3OS1hNzdhLTMzM2M5ZWU0MjBlOA.jpg,Instructor,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Operations Experience,False,alexis@soul-cycle.com,2014-05-10,1988-10-01
Elizabeth (Liza),Pasciuto,epasciuto@soul-cycle.com,https://media.licdn.com/media/p/6/005/040/297/0c8a355.jpg,,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Optimizing Design,True,david@soul-cycle.com,2005-07-12,1981-01-19
Jennifer Lynn,Kish,jennifer@soul-cycle.com,https://media.licdn.com/media/p/3/000/0fb/2cc/293e0e4.jpg,Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Enterprise Happiness,False,sjohsnon@soul-cycle.com,2007-10-08,1982-08-24
John,Skucas,john@soul-cycle.com,https://media.licdn.com/media/p/8/005/09b/2c6/21b57ff.jpg,Front Desk,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,External Strategy,False,gabrielle@soul-cycle.com,2009-08-08,1997-06-03
Hanna,Brody,hanna@soul-cycle.com,https://media.licdn.com/media/p/8/005/09b/202/2a3b8e1.jpg,Incoming DDS Candidate at UCSF,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Operating,False,melanie@soul-cycle.com,2010-08-23,1995-07-06
Natasha,Malenko,natasha@soul-cycle.com,https://media.licdn.com/media/p/6/005/0b1/3d2/1cfe078.jpg,Community Relations Assistant at San Jose Earthquakes Soccer,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,International Executives,True,peter@soul-cycle.com,2012-01-20,1982-04-19
Jennifer,Brody,jbrody@soul-cycle.com,https://media.licdn.com/media/p/4/000/183/1b2/390b610.jpg,Freelance Photographer / Creative Assistant,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Saftey Departments,True,sjohsnon@soul-cycle.com,2013-08-20,1980-07-13
Ashley,Urban,ashley@soul-cycle.com,https://media.licdn.com/media/p/7/005/090/306/181b0c1.jpg,Stylist at Stitch Fix,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Vertical Human Resources,False,forrest@soul-cycle.com,2012-11-27,1970-05-10
Emily,Yau,emily@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAAN6AAAAJDRhZmIyMDU1LTc0MGItNDk3NS1iYTI3LTdmNWExYjk3NTZjNA.jpg,Creative Consultant / Operations,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Account Success,False,sadler@soul-cycle.com,2005-07-20,1972-02-26
Jill,Waxman,jill@soul-cycle.com,https://media.licdn.com/media/p/8/000/1d7/14e/2b7641f.jpg,Assistant Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Saftey Departments,False,jbrody@soul-cycle.com,2011-05-10,1984-03-20
Alena,Kleinbrodt,alena@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAANDAAAAJDE5NDVmODcwLTYwM2ItNDE2MS04YTNlLWU1MjRlMDhkNTBjYg.jpg,Front Desk,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Account Human Resources,False,erica@soul-cycle.com,2008-08-07,1984-10-25
Ashley,Fattig,afattig@soul-cycle.com,https://media.licdn.com/media/p/7/000/249/3c6/3fb60d0.jpg,Studio Manager,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Saftey Marketing,False,msullivan@soul-cycle.com,2014-01-03,1983-11-16
Charlotte,Condy,charlotte@soul-cycle.com,https://media.licdn.com/media/p/2/005/04f/37b/0257409.jpg,Student at Boston University,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Assitant Sales,False,selena@soul-cycle.com,2009-09-04,1975-09-23
Sophie,Rosenoer,sophie@soul-cycle.com,https://media.licdn.com/media/p/6/005/053/2ab/02b62c3.jpg,Front Desk Associate,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth People,False,kelsey@soul-cycle.com,2007-05-13,1988-01-16
Sarah,Healy,sarah@soul-cycle.com,https://media.licdn.com/media/p/8/005/032/044/345d819.jpg,Front Desk,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,International Saftey,False,chrissie@soul-cycle.com,2014-03-16,1985-01-17
Kevin,Lash,kevin@soul-cycle.com,https://media.licdn.com/media/AAEAAQAAAAAAAAJ6AAAAJGE1N2VlYWNhLWU0Y2ItNDYzMi1iOWIxLTlhZmY3YzkxODVkZQ.jpg,Key Holder at SoulCyle Union Street,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Advocate,False,robbie@soul-cycle.com,2009-10-21,1992-01-08
Lauren,Anderson,landerson@soul-cycle.com,https://media.licdn.com/media/p/1/005/088/310/0065452.jpg,Front Desk,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Assitant Human Resources,True,holly@soul-cycle.com,2010-08-02,1985-06-05
Heather,Anderson,heather@soul-cycle.com,https://media.licdn.com/media/p/8/005/0a2/209/054ad02.jpg,Instructor,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,People Development,False,ko'connor@soul-cycle.com,2013-11-18,1979-06-21
Matthew,McCann,matthew@soul-cycle.com,https://media.licdn.com/media/p/7/005/0a9/15d/121bed0.jpg,Radiologic Technologist (R) (ARRT),(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Departments,True,jason@soul-cycle.com,2010-05-12,1994-03-25
Nicole,McClary,nicole@soul-cycle.com,https://media.licdn.com/media/p/7/005/0ac/075/24f0329.jpg,Keyholder,(415) 234-23232,75 1st St,San Francisco - SOMA,San Francisco,CA,94105,USA,37.790268,-122.397567,http://global-conferences.eu/wp-content/uploads/2014/09/1.jpg,Growth Strategy,False,amiltenberger@soul-cycle.com,2011-10-03,1980-11-01
Thai,Le,thai@soul-cycle.com,https://media.licdn.com/media/p/2/005/078/365/1f27316.jpg,Front End Web Developer,(415) 234-23232,103 Warren St,NY HQ,New York,NY,10007,USA,40.716188,-74.012477,http://camp-campbell.com/wp-content/uploads/2014/09/o-NEW-YORK.jpg,Operations Experience,False,alexis@soul-cycle.com,2007-10-26,1977-04-18
