first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Michael,White,michael@square.com,https://media.licdn.com/media/p/1/000/197/079/1d40324.jpg,Engineering Manager,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Account Happiness,False,mehmet@square.com,2007-07-12,1975-07-21
Miles,Harrigan,miles@square.com,https://media.licdn.com/media/p/5/005/0a9/182/0253978.jpg,Support Lead - International + Operations,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Assitant Departments,True,vijay@square.com,2011-01-01,1987-04-09
David,Botkin,david@square.com,https://media.licdn.com/media/p/3/000/002/19d/103c79d.jpg,Analytics Lead,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Growth Support,False,yenliang@square.com,2010-07-12,1995-08-22
Dan,Foster,dan@square.com,https://media.licdn.com/media/p/8/000/2c5/04b/19a0497.jpg,Payments Analytics,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Operations Communications,True,manik@square.com,2014-03-18,1977-08-24
Tyler,Kovacs,tyler@square.com,https://media.licdn.com/media/p/3/000/083/27d/33da135.jpg,Engineer,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Saftey Saftey,False,mngo@square.com,2014-02-16,1994-05-26
Rusty,von Waldburg,rusty@square.com,https://media.licdn.com/media/p/7/005/038/13f/049f6e7.jpg,"Lead, Hub Sales & Ops",(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Growth Recruiting,True,jesse@square.com,2013-01-17,1991-09-18
Craig,Lisowski,craig@square.com,https://media.licdn.com/media/AAEAAQAAAAAAAACeAAAAJGQyNmZkOTliLTE2NWUtNGMzMC1hNjJkLTA4N2QwMzMwZTAxOA.jpg,Head of Business System Engineering and IT,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Internal Saftey,False,lyadao@square.com,2011-04-18,1971-02-24
Ajit,Varma,ajit@square.com,https://media.licdn.com/media/p/4/000/132/229/2acd978.jpg,Director,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,Operations Advocate,False,sizzi@square.com,2005-01-26,1989-11-17
CK,Siu,ck@square.com,https://media.licdn.com/media/p/2/000/2c2/364/1d84742.jpg,Business Team,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,External Design,True,ateo@square.com,2006-05-17,1976-01-10
Ed,Ruder,ed@square.com,https://media.licdn.com/media/p/2/000/005/217/15a0527.jpg,Software Engineer,(415) 234-23232,1455 Market Street,San Francisco,San Francisco,CA,94103,USA,37.775706,-122.417582,,International Experience,False,jimmy@square.com,2013-01-13,1998-09-04
