first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Anthony,Grant,anthony@tilt.com,https://media.licdn.com/media/p/3/000/1d8/018/1c96c39.jpg,Designer,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Special Product,True,zaid@tilt.com,2010-04-05,1997-10-14
Brianna,Haag,brianna@tilt.com,https://media.licdn.com/media/p/6/005/086/05b/0a64fd9.jpg,Growth Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Departments,False,sarah@tilt.com,2007-04-21,1992-05-19
Brian,Birtwistle,brian@tilt.com,https://media.licdn.com/media/p/7/005/0a5/2f7/0617fcc.jpg,COO,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,COO,True,james@tilt.com,2008-02-14,1981-01-01
Jason,Krikorian,jason@tilt.com,https://media.licdn.com/media/p/7/005/050/3d3/06766a9.jpg,General Partner at DCM,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Consumer Finance,False,claire@tilt.com,2005-11-26,1994-01-19
Julia,Blystone,julia@tilt.com,https://media.licdn.com/media/p/7/005/038/0b5/340e056.jpg,Public Relations and Communications Professional,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Communications,True,madhuri@tilt.com,2008-09-17,1974-01-10
Gabriel,Laden,gabriel@tilt.com,https://media.licdn.com/media/p/6/005/019/0a0/1748252.jpg,Systems Engineer,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,COO,False,brian@tilt.com,2012-05-23,1998-03-10
Suzie,White,suzie@tilt.com,https://media.licdn.com/media/p/7/005/07d/00a/386c6d3.jpg,Business Development at Facebook,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Account Engineering,False,jsmith@tilt.com,2012-02-04,1998-10-09
Nishan,Sivathasan,nishan@tilt.com,https://media.licdn.com/media/p/7/005/071/0fc/03f4d63.jpg,"Director, Business Operations & Strategy",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Account Product,False,kacey@tilt.com,2008-07-04,1970-06-22
Timothy,Ryan,timothy@tilt.com,https://media.licdn.com/media/p/4/005/05c/377/04cdfa4.jpg,"Country Manager, Canada",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Saftey,True,sarah@tilt.com,2010-01-13,1996-01-21
Erica,Mignogna,erica@tilt.com,https://media.licdn.com/media/p/3/000/060/304/082fc21.jpg,Account Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,International Sales,False,kent@tilt.com,2008-10-14,1990-01-02
Mike,Duboe,mike@tilt.com,https://media.licdn.com/media/p/2/005/00e/037/23f145a.jpg,Director of Growth,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Development,False,partow@tilt.com,2005-06-09,1974-09-07
