first_name,last_name,email,image_url,title,cell_phone,office_address_1,office_name,office_city,office_region,office_postal_code,office_country_code,office_latitude,office_longitude,office_image_url,team,owns_team,manager_email,hire_date,birth_date
Eamon,Bisson-Donahue,eamon@uber.com,https://media.licdn.com/media/p/3/000/1cd/33c/0643071.jpg,Engineering Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Executives,False,andrey@uber.com,2014-08-16,1998-08-20
Matt,Cohler,matt@uber.com,https://media.licdn.com/media/p/4/000/156/3d8/02fe5ce.jpg,General Partner at Benchmark,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Experience,False,klemons bierman@uber.com,2010-08-27,1979-01-27
Bill,Gurley,bill@uber.com,https://media.licdn.com/media/p/1/000/1c5/308/1ef9a02.jpg,General Partner at Benchmark,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Saftey,False,george@uber.com,2013-05-03,1978-05-11
Michael,Brown,michael@uber.com,https://media.licdn.com/media/p/6/005/064/1cb/3bc09ef.jpg,Regional General Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Consumer Saftey,False,cassie@uber.com,2009-04-24,1987-01-06
Travis,Kalanick,travis@uber.com,,"CEO, co-founder",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Executive Office,True,,2013-08-18,1972-11-06
Khang,Tran,khang@uber.com,https://media.licdn.com/media/p/7/000/22c/077/0103049.jpg,Growth,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Insights Recruiting,False,romain@uber.com,2008-04-02,1990-11-24
Eric,Alexander,eric@uber.com,,Strategic Sales and Business Development,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Sales,False,nikhil@uber.com,2006-02-02,1985-07-16
Jason,Calacanis,jason@uber.com,https://media.licdn.com/media/p/7/005/067/0a8/03df858.jpg,"entrepreneur, angel investor, writer, father and talk show host",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Happiness,False,yefei@uber.com,2010-09-01,1986-06-19
Frederique,Dame,frederique@uber.com,https://media.licdn.com/media/p/4/000/185/30d/12b15a4.jpg,Product Management,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client Strategy,False,dng@uber.com,2013-09-26,1977-11-22
Chad,Thornton,chad@uber.com,https://media.licdn.com/media/p/7/005/058/145/34e2220.jpg,Design Manager,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Strategy,False,anelson@uber.com,2014-02-10,1983-02-25
David,Richter,david@uber.com,https://media.licdn.com/media/p/3/000/010/36f/1c97d4d.jpg,"VP, Strategic Initiatives",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Experience,False,wzinsmeister@uber.com,2009-04-15,1978-02-11
Michelle,Chen,michelle@uber.com,https://media.licdn.com/media/p/8/005/09a/319/0de182f.jpg,Product Lead,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Client People,False,chunyan@uber.com,2005-11-08,1996-04-06
Matt,Mihic,mmihic@uber.com,https://media.licdn.com/media/p/5/005/0b2/31e/37627e0.jpg,Infrastructure Engineering,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Finance,False,rjohnson@uber.com,2009-09-08,1978-08-01
Maksim,Ioffe,maksim@uber.com,https://media.licdn.com/media/p/2/000/043/31b/1e660eb.jpg,Product,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Growth Human Resources,True,elise@uber.com,2010-10-10,1976-09-25
Patrick,Schork,patrick@uber.com,https://media.licdn.com/media/p/8/000/1e8/025/37f6b1c.jpg,Engineer,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,International People,False,mdorsey@uber.com,2012-06-03,1971-11-09
Ed,Baker,ed@uber.com,https://media.licdn.com/media/p/8/005/0a2/1bf/2cf9cbc.jpg,Head of Growth,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Enterprise Executives,False,yanjun@uber.com,2008-09-14,1985-09-19
Axel,Martinez,axel@uber.com,https://media.licdn.com/media/p/3/000/04d/2ca/1edafa8.jpg,"VP, Treasurer",(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,Consumer Finance,False,dana@uber.com,2010-09-22,1972-07-22
Wai-Yip,Tung,wai-yip@uber.com,https://media.licdn.com/media/p/7/005/04b/215/2e011d5.jpg,Senior Software Engineer,(415) 234-23232,2300 Harrison St,San Francisco,San Francisco,CA,94110,US,37.760382,-122.412308,http://healthpsychology.ucsf.edu/sites/healthpsychology.ucsf.edu/files/wysiwyg/GGBridge%20at%20dusk.jpg,External Accounting,False,benjamin@uber.com,2014-07-09,1971-08-22
